Cocktail Name,Ingredients,Preparation,Image
French Martini,"pineapple juice, Raspberry Liqueur, Vodka, ",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg
French Negroni,"Orange Peel, Sweet Vermouth, Lillet, Gin, ","Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg
Flying Dutchman,"Triple sec, Gin, ","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg
Frozen Daiquiri,"Ice, Cherry, Sugar, Lime juice, Triple sec, Light rum, ","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg
Fahrenheit 5000,"Tabasco sauce, Absolut Peppar, Firewater, ",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg
Flying Scotchman,"Sugar syrup, Bitters, Sweet Vermouth, Scotch, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg
French Connection,"Amaretto, Cognac, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg
Flaming Dr. Pepper,"Beer, Dr. Pepper, 151 proof rum, Vodka, Amaretto, ","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg
Flander's Flake-Out,"Sarsaparilla, Sambuca, ",Bang 'em both in.,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg
Flaming Lamborghini,"Baileys irish cream, Blue Curacao, Sambuca, Kahlua, ","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg
Frozen Mint Daiquiri,"Sugar, Mint, Lime juice, Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg
Frozen Pineapple Daiquiri,"Sugar, Lime juice, Pineapple, Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg
Gimlet,"Lime, Sugar Syrup, Lime Juice, Gin, ","Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg
Gin Fizz,"Carbonated water, Powdered sugar, Lemon, Gin, ","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg
Gin Sour,"Maraschino cherry, Orange, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg
Godchild,"Heavy cream, Amaretto, Vodka, ","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg
Gin Daisy,"Orange, Maraschino cherry, Grenadine, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg
Gin Sling,"Orange peel, Water, Powdered sugar, Lemon, Gin, ",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg
Gin Smash,"Cherry, Orange, Mint, Sugar, Carbonated water, Gin, ","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg
Gin Toddy,"Lemon peel, Powdered sugar, Water, Gin, ","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg
Godfather,"Amaretto, Scotch, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg
Godmother,"Amaretto, Vodka, ",Pour vodka and amaretto into an old-fashioned glass over ice and serve.,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg
Gagliardo,"Sirup of roses, Galliano, Lemon juice, Peach Vodka, ","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg
Greyhound,"Grapefruit Juice, Vodka, ","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg
Gin Cooler,"Lemon peel, Orange spiral, Powdered sugar, Carbonated water, Gin, ",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg
Gin Squirt,"Carbonated water, Strawberries, Pineapple, Powdered sugar, Grenadine, Gin, ","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg
Grand Blue,"Sweet and sour, Blue Curacao, Peach schnapps, Malibu rum, ",Serve in an old fashioned glass.,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg
Gin Rickey,"Lime, Soda Water, lemon, Grenadine, Gin, ",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg
Gin Swizzle,"Club soda, Bitters, Gin, Sugar, Lime juice, ","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg
Grass Skirt,"Pineapple, Grenadine, Pineapple juice, Triple sec, Gin, ","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg
Grim Reaper,"Grenadine, 151 proof rum, Kahlua, ",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg
Grasshopper,"Light cream, Creme de Cacao, Green Creme de Menthe, ",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg
Grizzly Bear,"Milk, Kahlua, Jägermeister, Amaretto, ","Served over ice. Sounds nasty, but tastes great.",https://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg
Green Goblin,"Blue Curacao, Lager, Cider, ","Cider First, Lager then Curacao",https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg
Golden dream,"Cream, orange juice, Triple Sec, Galliano, ",Shake with cracked ice. Strain into glass and serve.,https://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg
H.D.,"Coffee, Baileys irish cream, Whisky, ",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg
Honey Bee,"Lemon Juice, Honey, White Rum, ","Shake ingredients with crushed ice
",https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg
Herbal flame,"Tea, Hot Damn, ","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",https://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg
Horse's Neck,"Bitters, Ginger ale, Brandy, Lemon peel, ","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",https://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg
Happy Skipper,"Ice, Lime, Ginger ale, Spiced rum, ","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",https://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg
Hunter's Moon,"Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",https://www.thecocktaildb.com/images/media/drink/t0iugg1509556712.jpg
Havana Cocktail,"Lemon juice, Pineapple juice, Light rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg
Hot Creamy Bush,"Coffee, Baileys irish cream, Irish whiskey, ",Combine all ingredients in glass,https://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg
Homemade Kahlua,"Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar, ","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",https://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg
Halloween Punch,"Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice, ","Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.",https://www.thecocktaildb.com/images/media/drink/7hcgyj1571687671.jpg
Harvey Wallbanger,"Orange juice, Galliano, Vodka, ","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/7os4gs1606854357.jpg
Hawaiian Cocktail,"Pineapple juice, Triple sec, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg
Hemingway Special,"Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum, ",Pour all ingredients into a shaker with ice. Shake.,https://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg
Highland Fling Cocktail,"Olive, Orange bitters, Sweet Vermouth, Scotch, ",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,https://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg
Irish Cream,"Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch, ",Mix scotch and milk. Add half-and-half. Add rest.,https://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg
Ice Pick #1,"Lemon juice, Iced tea, Vodka, ",Put Vodka in glass fill with iced tea. Stir in lemon to taste.,
Irish Spring,"Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey, ","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",https://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg
Irish Coffee,"Whipped cream, Sugar, Coffee, Irish whiskey, ","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",https://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg
Imperial Fizz,"Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg
Irish Russian,"Guinness stout, Coca-Cola, Kahlua, Vodka, ",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,https://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg
Imperial Cocktail,"Aperol, Gin, Lime juice, ",Shake with ice and strain into cocktail glass.,https://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg
Iced Coffee Fillip,"Coffee, Kahlua, ",Mix together in a coffee mug and chill before serving.,https://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg
Irish Curdling Cow,"Orange juice, Vodka, Bourbon, Baileys irish cream, ","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",https://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg
Jitterbug,"Soda water, Sugar syrup, Sugar, Lime juice, Grenadine, Vodka, Gin, ","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",https://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg
Jam Donut,"Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream, ","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",https://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg
Jelly Bean,"Anis, Blackberry brandy, ",mix equal parts in pony glass-tastes just like a jelly bean!,https://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg
Jackhammer,"Amaretto, Jack Daniels, ","Serve over ice- Warning,Deadly!",https://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg
Jello shots,"Water, Jello, Vodka, ","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",https://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg
John Collins,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon, ",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg
Jamaica Kiss,"Milk, Ice, Light rum, Coffee liqueur, ",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg
Japanese Fizz,"Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg
Jamaican Coffee,"Whipped cream, Water, Coffee, Rum, ","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",https://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg
Jewel Of The Nile,"Yellow Chartreuse, Green Chartreuse, Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg
Jack Rose Cocktail,"Lime, Grenadine, Apple brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg
Jack's Vanilla Coke,"Coca-Cola, Vanilla extract, Tennessee whiskey, Ice, ","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg
Kir,"Champagne, Creme de Cassis, ","Add the crème de cassis to the bottom of the glass, then top up with wine.",https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg
Karsk,"Grain alcohol, Coffee, ","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg
Kamikaze,"Lime juice, Triple sec, Vodka, ","Shake all ingredients together with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg
Kir Royale,"Champagne, Creme de Cassis, ","Pour Creme de cassis in glass, gently pour champagne on top",https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg
Kurant Tea,"Sugar, Tea, Absolut Kurant, ","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg
Kiwi Lemon,"Ice, Bitter lemon, Kiwi liqueur, ",Mix in highball glass. Stirr. Garnish with slice of kiwi.,https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg
Kioki Coffee,"Coffee, Brandy, Kahlua, ",Stir. Add whipped cream to the top.,https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg
Kool-Aid Shot,"Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka, ",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg
Kiss me Quick,"Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka, ",mix in the glass,https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg
Kool First Aid,"Kool-Aid, 151 proof rum, ","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg
Kentucky B And B,"Benedictine, Bourbon, ",Pour the bourbon and Benedictine into a brandy snifter.,https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg
Kentucky Colonel,"Lemon peel, Benedictine, Bourbon, ",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg
Kool-Aid Slammer,"Vodka, Kool-Aid, ","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg
Lunch Box,"Orange juice, Amaretto, Beer, ",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg
Lemon Shot,"151 proof rum, Sugar, Lemon, Absolut Citron, Galliano, ","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg
Long vodka,"Ice, Tonic water, Angostura bitters, Lime, Vodka, ","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg
Lemon Drop,"Lemon, Cointreau, Absolut Vodka, ",Shake and strain into a chilled cocktail glass rimmed with sugar.,https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg
Loch Lomond,"Lemon peel, Dry Vermouth, Drambuie, Scotch, ","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg
London Town,"Orange bitters, Maraschino liqueur, Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg
Lord And Lady,"Tia maria, Dark rum, ",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg
Limona Corona,"Bacardi Limon, Corona, ","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",https://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg
Lady Love Fizz,"Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg
Long Island Tea,"Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka, ",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg
Lone Tree Cooler,"Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg
Lone Tree Cocktail,"Gin, Sweet Vermouth, ","Stir ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg
Lazy Coconut Paloma,"Soda Water, Grapefruit Juice, Coconut Liqueur, ",Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.,https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg
Long Island Iced Tea,"Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka, ",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg
Mojito,"Soda water, Mint, Sugar, Lime, Light rum, ",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg
Mimosa,"Orange juice, Champagne, ","Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",https://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg
Mai Tai,"Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum, ",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg
Martini,"Olive, Dry Vermouth, Gin, ","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg
Margarita,"Salt, Lime juice, Triple sec, Tequila, ","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",https://www.thecocktaildb.com/images/media/drink/bry4qh1582751040.jpg
Manhattan,"Orange peel, Maraschino cherry, Ice, Angostura bitters, Bourbon, Sweet Vermouth, ","Stirred over ice, strained into a chilled glass, garnished, and served up.",https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg
Mojito #3,"Angostura bitters, Club soda, Dark rum, Lemon juice, Mint, ","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",
Michelada,"Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer, ","Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg
Miami Vice,"Daiquiri mix, Pina colada mix, 151 proof rum, ","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",https://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg
Mudslinger,"Pepsi Cola, Orange juice, Southern Comfort, ",Add all contents to a large jug or punch bowl. Stir well!,https://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg
Moranguito,"Grenadine, Tequila, Absinthe, ","first you put rhe absinthe, then put tequila, then put the Granadine syrup.",https://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg
Mint Julep,"Water, Powdered sugar, Bourbon, Mint, ","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.",https://www.thecocktaildb.com/images/media/drink/squyyq1439907312.jpg
Martinez 2,"Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin, ","Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",https://www.thecocktaildb.com/images/media/drink/fs6kiq1513708455.jpg
Mulled Wine,"Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water, ","Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",https://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg
Moscow Mule,"Ginger ale, Lime juice, Vodka, ",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg
Mocha-Berry,"Whipped cream, Cocoa powder, Chambord raspberry liqueur, Coffee, ","pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",https://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg
Munich Mule,"lemon, Cucumber, Ginger Beer, Lime Juice, Gin, ","Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",https://www.thecocktaildb.com/images/media/drink/rj55pl1582476101.jpg
